iter	Passed	Remaining
0	96	96555
1	97	48529
2	98	32593
3	98	24608
4	99	19797
5	100	16586
6	100	14291
7	101	12566
8	101	11225
9	102	10143
10	102	9258
11	103	8523
12	104	7900
13	104	7372
14	105	6909
15	105	6503
16	106	6146
17	107	5840
18	108	5589
19	108	5336
20	109	5105
21	110	4894
22	110	4700
23	111	4524
24	111	4363
25	112	4212
26	113	4073
27	113	3944
28	114	3824
29	114	3710
30	115	3603
31	115	3504
32	116	3412
33	117	3326
34	117	3243
35	118	3166
36	118	3093
37	119	3026
38	120	2959
39	120	2896
40	121	2836
41	121	2777
42	122	2721
43	122	2668
44	123	2618
45	123	2571
46	124	2526
47	125	2483
48	125	2442
49	126	2402
50	127	2363
51	127	2325
52	128	2289
53	128	2253
54	129	2219
55	129	2188
56	130	2156
57	130	2126
58	131	2099
59	132	2070
60	132	2043
61	133	2016
62	133	1990
63	134	1965
64	135	1942
65	135	1918
66	136	1895
67	136	1873
68	137	1851
69	137	1831
70	138	1811
71	139	1791
72	139	1771
73	140	1752
74	140	1733
75	141	1716
76	141	1698
77	142	1682
78	142	1666
79	143	1650
80	144	1635
81	144	1620
82	145	1602
83	145	1588
84	146	1574
85	146	1559
86	147	1545
87	147	1532
88	148	1519
89	149	1506
90	149	1493
91	150	1482
92	150	1471
93	151	1460
94	152	1449
95	152	1437
96	153	1426
97	153	1416
98	154	1405
99	154	1394
100	155	1384
101	156	1374
102	156	1365
103	157	1356
104	157	1346
105	158	1336
106	159	1327
107	159	1317
108	160	1309
109	160	1300
110	161	1291
111	161	1282
112	162	1274
113	162	1266
114	163	1258
115	164	1250
116	164	1242
117	165	1234
118	165	1226
119	166	1222
120	167	1214
121	167	1207
122	168	1199
123	168	1192
124	169	1186
125	170	1180
126	170	1172
127	171	1166
128	171	1159
129	172	1153
130	172	1146
131	173	1140
132	173	1133
133	174	1127
134	174	1121
135	175	1116
136	176	1110
137	176	1104
138	177	1098
139	177	1093
140	178	1087
141	178	1080
142	179	1074
143	179	1069
144	180	1063
145	180	1058
146	181	1053
147	182	1048
148	182	1043
149	183	1038
150	183	1033
151	184	1028
152	185	1024
153	185	1019
154	186	1014
155	186	1010
156	187	1005
157	188	1001
158	188	998
159	189	993
160	189	987
161	190	983
162	190	979
163	191	974
164	191	970
165	192	966
166	192	961
167	193	957
168	193	953
169	194	950
170	195	946
171	195	942
172	196	939
173	197	935
174	197	931
175	198	927
176	198	923
177	199	919
178	199	915
179	200	911
180	200	908
181	201	905
182	201	901
183	202	897
184	202	894
185	203	890
186	203	886
187	204	883
188	205	880
189	205	876
190	206	873
191	206	870
192	207	867
193	207	863
194	208	860
195	208	857
196	209	853
197	210	850
198	210	847
199	211	844
200	211	841
201	212	837
202	212	835
203	213	833
204	214	830
205	214	827
206	215	824
207	215	821
208	216	818
209	216	815
210	217	812
211	217	809
212	218	806
213	218	803
214	219	801
215	220	798
216	220	795
217	221	793
218	221	790
219	222	787
220	222	785
221	223	782
222	223	779
223	224	777
224	225	775
225	225	772
226	226	770
227	226	767
228	227	765
229	227	762
230	228	760
231	228	757
232	229	755
233	229	752
234	230	750
235	230	747
236	231	745
237	232	743
238	232	741
239	233	738
240	233	736
241	234	734
242	234	731
243	235	729
244	236	727
245	236	724
246	237	722
247	237	720
248	238	718
249	238	716
250	239	714
251	239	711
252	240	709
253	241	708
254	241	706
255	242	704
256	242	702
257	243	700
258	243	698
259	244	696
260	245	694
261	245	692
262	246	690
263	246	688
264	247	685
265	247	683
266	248	681
267	248	679
268	249	678
269	250	676
270	250	674
271	251	672
272	251	671
273	252	668
274	253	667
275	253	665
276	254	663
277	254	661
278	255	659
279	255	657
280	256	655
281	257	654
282	257	652
283	258	651
284	258	649
285	259	648
286	260	646
287	260	644
288	261	642
289	261	640
290	262	639
291	262	637
292	263	635
293	264	634
294	264	632
295	265	630
296	265	629
297	266	627
298	267	626
299	267	624
300	268	623
301	268	621
302	269	619
303	270	618
304	270	616
305	271	615
306	271	613
307	272	612
308	273	611
309	274	610
310	276	612
311	278	614
312	280	615
313	281	614
314	282	613
315	282	612
316	284	613
317	285	611
318	285	610
319	286	609
320	287	609
321	288	607
322	290	609
323	292	610
324	293	609
325	294	609
326	295	608
327	296	608
328	297	606
329	298	605
330	299	604
331	300	603
332	300	602
333	301	600
334	302	599
335	303	598
336	303	597
337	304	597
338	305	596
339	306	595
340	307	593
341	307	592
342	308	590
343	309	589
344	309	588
345	311	588
346	312	588
347	313	587
348	314	586
349	315	585
350	316	584
351	316	583
352	317	581
353	318	580
354	318	578
355	319	577
356	319	576
357	320	574
358	320	573
359	321	571
360	322	570
361	322	568
362	323	567
363	323	566
364	324	564
365	325	563
366	325	562
367	326	560
368	327	559
369	327	557
370	328	556
371	328	554
372	329	553
373	330	552
374	330	551
375	331	549
376	331	548
377	332	547
378	333	545
379	333	544
380	334	542
381	334	541
382	335	540
383	335	538
384	336	537
385	337	536
386	337	534
387	338	533
388	338	532
389	339	530
390	339	529
391	340	527
392	340	526
393	341	525
394	342	524
395	342	522
396	343	521
397	343	519
398	344	518
399	344	517
400	345	515
401	346	514
402	346	513
403	347	512
404	347	510
405	348	509
406	348	508
407	349	507
408	350	505
409	350	504
410	351	503
411	351	501
412	352	500
413	352	499
414	353	498
415	353	496
416	354	495
417	355	494
418	355	493
419	356	492
420	356	490
421	357	489
422	357	488
423	358	486
424	358	485
425	359	484
426	360	483
427	360	482
428	361	481
429	362	479
430	362	478
431	363	477
432	363	476
433	364	474
434	364	473
435	365	472
436	365	471
437	366	469
438	366	468
439	367	467
440	367	466
441	368	465
442	368	463
443	369	462
444	370	461
445	370	460
446	371	459
447	371	458
448	372	456
449	372	455
450	373	454
451	374	453
452	374	452
453	375	451
454	375	449
455	376	448
456	376	447
457	377	446
458	377	445
459	378	444
460	378	443
461	379	442
462	380	441
463	380	440
464	381	438
465	382	437
466	382	436
467	383	435
468	383	434
469	384	433
470	385	432
471	385	431
472	386	430
473	386	429
474	387	428
475	388	427
476	388	426
477	389	424
478	389	423
479	390	422
480	390	421
481	391	420
482	391	419
483	392	418
484	393	417
485	393	416
486	394	415
487	394	414
488	395	413
489	395	411
490	396	410
491	396	409
492	397	408
493	398	407
494	398	406
495	399	405
496	399	404
497	400	403
498	400	402
499	401	401
500	401	400
501	402	399
502	402	398
503	403	396
504	403	395
505	404	394
506	405	393
507	405	392
508	406	391
509	406	390
510	407	389
511	407	388
512	408	387
513	408	386
514	409	385
515	409	384
516	410	383
517	410	382
518	411	381
519	411	380
520	412	379
521	413	378
522	413	377
523	414	376
524	414	375
525	415	374
526	415	373
527	416	372
528	416	371
529	417	370
530	417	369
531	418	368
532	418	367
533	419	366
534	420	365
535	420	364
536	421	363
537	421	362
538	422	361
539	422	360
540	423	359
541	424	358
542	424	357
543	425	356
544	425	355
545	426	354
546	426	353
547	427	352
548	427	351
549	428	350
550	428	349
551	429	348
552	430	347
553	430	346
554	431	345
555	431	344
556	432	343
557	432	342
558	433	341
559	433	340
560	434	339
561	434	338
562	435	337
563	435	336
564	436	335
565	436	334
566	437	333
567	437	332
568	438	331
569	438	331
570	439	330
571	439	329
572	440	328
573	440	327
574	441	326
575	442	325
576	442	324
577	443	323
578	443	322
579	444	321
580	444	320
